,Name,Confirmed,Per Million,Changes Today,Percentage Day Change,Critical,Deceased,Per Million.1,Changes Today.1,Percentage Death Change,Tests,Active,Recovered,Per Million.2,Population,mortality,recovery
154,★  Timor-Leste,30,23,0,0%,Unknown,0,Unknown,0,0%,13289,Unknown,30.0,23,1328371,0.0,100.0
69,★  Vatican City,27,0,0,0%,Unknown,0,Unknown,0,0%,0,Unknown,15.0,0,802,0.0,55.55555555555556
128,★  Saint Kitts and Nevis,22,0,0,0%,Unknown,0,Unknown,0,0%,3677,Unknown,19.0,0,53350,0.0,86.36363636363636
212,★  Greenland,18,0,0,0%,Unknown,0,Unknown,0,0%,12578,Unknown,18.0,0,56810,0.0,100.0
141,★  Solomon Islands,17,0,0,0%,Unknown,0,Unknown,0,0%,4500,Unknown,5.0,0,693502,0.0,29.41176470588235
213,★  Falkland Islands,16,0,0,0%,Unknown,0,Unknown,0,0%,4245,Unknown,13.0,0,3520,0.0,81.25
214,★  Saint Pierre and Miquelon,16,0,0,0%,Unknown,0,Unknown,0,0%,2624,Unknown,12.0,0,5783,0.0,75.0
215,★  Montserrat,13,0,0,0%,Unknown,1,0,0,0%,577,0,12.0,0,4993,7.6923076923076925,92.3076923076923
167,★  Western Sahara,10,0,0,0%,Unknown,1,0,0,0%,0,Unknown,8.0,0,603109,10.0,80.0
101,★  Marshall Islands,4,0,0,0%,Unknown,0,Unknown,0,0%,0,Unknown,1.0,0,59350,0.0,25.0
216,★  Anguilla,4,0,0,0%,Unknown,0,Unknown,0,0%,2308,Unknown,3.0,0,15056,0.0,75.0
217,★  Wallis and Futuna,3,0,1,50%,Unknown,0,Unknown,0,0%,1149,Unknown,1.0,0,11158,0.0,33.333333333333336
163,★  Vanuatu,1,0,0,0%,Unknown,0,Unknown,0,0%,0,Unknown,,Unknown,309969,0.0,
218,★  Samoa,1,0,0,0%,Unknown,0,Unknown,0,0%,0,Unknown,,Unknown,198942,0.0,
