dates,Total_cases
2020-09-29,33631070.0
2020-09-30,33957884.0
2020-10-01,34275807.0
2020-10-02,34571172.0
2020-10-03,34889804.0
2020-10-04,35138269.0
2020-10-05,35467660.0
2020-10-06,35793012.0
2020-10-07,36142566.0
2020-10-08,36504174.0
2020-10-09,36863620.0
2020-10-10,37193872.0
2020-10-11,37463568.0
2020-10-12,37788829.0
2020-10-13,38117691.0
2020-10-14,38498286.0
2020-10-15,38905694.0
2020-10-16,39316324.0
2020-10-17,39657368.0
2020-10-18,39943263.0
2020-10-19,40391772.0
2020-10-20,40780443.0
2020-10-21,41224485.0
2020-10-22,41696807.0
2020-10-23,42192016.0
2020-10-24,42603760.0
2020-10-25,42957052.0
2020-10-26,43494699.0
2020-10-27,43964015.0
2020-10-28,44473376.0
2020-10-29,45024129.0
2020-10-30,45594086.0
2020-10-31,46070463.0
2020-11-01,46503704.0
2020-11-02,47012165.0
2020-11-03,47527270.0
2020-11-04,48124824.0
2020-11-05,48718539.0
2020-11-06,49360492.0
2020-11-07,49871598.0
2020-11-08,50436547.0
2020-11-09,50938348.0
2020-11-10,51494283.0
2020-11-11,52139269.0
2020-11-12,52786566.0
2020-11-13,53435351.0
2020-11-14,54029326.0
2020-11-15,54502332.0
2020-11-16,55030781.0
2020-11-17,55638883.0
2020-11-18,56262553.0
2020-11-19,56913120.0
2020-11-20,57579266.0
2020-11-21,58165570.0
2020-11-22,58649369.0
2020-11-23,59171092.0
2020-11-24,59759508.0
2020-11-25,60392453.0
2020-11-26,60973650.0
2020-11-27,61645535.0
2020-11-28,62244181.0
